city_or_municipality,barangay,basic_education,households_magnitude,households_proportion,households_total,population_male_magnitude,population_female_magnitude,population_total_magnitude,population_male_proportion,population_female_proportion
Kumalarang,Picanan,children 6-12 years old not attending elementary,88,41.9,117,61,56,33.8,34.3,33.3
Kumalarang,Picanan,children 13-16 years old not attending high school,93,59.2,116,57,59,54,55.9,52.2
Kumalarang,Picanan,children 6-16 years old not attending school,83,32,135,67,68,24.1,23.9,24.2
Labangan,Bagalupa,children 6-12 years old not attending elementary,25,27.8,32,19,13,21.8,23.2,20
Labangan,Bagalupa,children 13-16 years old not attending high school,48,63.2,56,31,25,55.4,54.4,56.8
Labangan,Bagalupa,children 6-16 years old not attending school,31,27,41,24,17,16.5,17.3,15.6
Labangan,Balimbingan (West Luya),children 6-12 years old not attending elementary,28,21.5,31,19,12,16.3,17.9,14.3
Labangan,Balimbingan (West Luya),children 13-16 years old not attending high school,47,56,58,36,22,52.3,64.3,40
Labangan,Balimbingan (West Luya),children 6-16 years old not attending school,36,23.4,47,30,17,15.6,18.5,12.2
Labangan,Binayan,children 6-12 years old not attending elementary,38,33.9,42,21,21,21.1,22.3,20
Labangan,Binayan,children 13-16 years old not attending high school,39,46.4,51,30,21,45.5,46.2,44.7
Labangan,Binayan,children 6-16 years old not attending school,31,23.1,38,18,20,12.2,11.3,13.2
Labangan,Bokong,children 6-12 years old not attending elementary,50,31.4,54,38,16,23,29.9,14.8
Labangan,Bokong,children 13-16 years old not attending high school,50,44.2,61,41,20,40.4,50.6,28.6
Labangan,Bokong,children 6-16 years old not attending school,42,21.1,53,38,15,13.7,18.3,8.4
Labangan,Bulanit,children 6-12 years old not attending elementary,54,32.1,70,34,36,22.1,20.9,23.4
Labangan,Bulanit,children 13-16 years old not attending high school,63,56.3,80,48,32,49.7,61.5,38.6
Labangan,Bulanit,children 6-16 years old not attending school,68,34.2,105,62,43,22,25.7,18.1
Labangan,Cogonan,children 6-12 years old not attending elementary,125,70.2,199,107,92,54.4,56.3,52.3
Labangan,Cogonan,children 13-16 years old not attending high school,111,89.5,151,74,77,83.9,85.1,82.8
Labangan,Cogonan,children 6-16 years old not attending school,149,74.1,274,144,130,50.2,52,48.3
Labangan,Dalapang,children 6-12 years old not attending elementary,67,46.9,74,48,26,31.9,40.3,23
Labangan,Dalapang,children 13-16 years old not attending high school,48,52.7,62,30,32,52.1,52.6,51.6
Labangan,Dalapang,children 6-16 years old not attending school,62,34.3,76,44,32,21.7,25,18.3
Labangan,Dipaya,children 6-12 years old not attending elementary,40,46.5,41,29,12,29.1,36.7,19.4
Labangan,Dipaya,children 13-16 years old not attending high school,29,54.7,34,20,14,42.5,50,35
Labangan,Dipaya,children 6-16 years old not attending school,35,33.7,42,28,14,19,23.5,13.7
Labangan,Langapod,children 6-12 years old not attending elementary,75,45.5,98,60,38,33.2,39.2,26.8
Labangan,Langapod,children 13-16 years old not attending high school,83,74.1,107,62,45,68.2,75.6,60
Labangan,Langapod,children 6-16 years old not attending school,89,46.6,135,87,48,29.9,37,22.1
Labangan,Lantian,children 6-12 years old not attending elementary,52,27.8,57,31,26,19,19.9,18.1
Labangan,Lantian,children 13-16 years old not attending high school,60,49.2,74,41,33,42.3,46.6,37.9
Labangan,Lantian,children 6-16 years old not attending school,45,19.7,59,36,23,12.4,14.8,10
Labangan,Lower Campo Islam Poblacion,children 6-12 years old not attending elementary,34,27.9,38,21,17,19.4,20.4,18.3
Labangan,Lower Campo Islam Poblacion,children 13-16 years old not attending high school,49,51,55,28,27,47.4,56,40.9
Labangan,Lower Campo Islam Poblacion,children 6-16 years old not attending school,36,23.8,47,27,20,15.1,17.6,12.6
Labangan,Lower Pulacan,children 6-12 years old not attending elementary,37,26.1,42,21,21,19.5,23.1,16.9
Labangan,Lower Pulacan,children 13-16 years old not attending high school,35,34.3,38,23,15,28.4,31.9,24.2
Labangan,Lower Pulacan,children 6-16 years old not attending school,24,13.2,31,15,16,8.9,9.2,8.6
Labangan,New Labangan,children 6-12 years old not attending elementary,69,39.9,85,47,38,26.8,28.3,25.2
Labangan,New Labangan,children 13-16 years old not attending high school,62,68.1,76,45,31,56.3,69.2,44.3
Labangan,New Labangan,children 6-16 years old not attending school,70,35.9,100,58,42,22.1,25.1,19
Labangan,Noboran,children 6-12 years old not attending elementary,72,52.6,100,54,46,37.7,37.5,38
Labangan,Noboran,children 13-16 years old not attending high school,80,87,116,61,55,88.5,92.4,84.6
Labangan,Noboran,children 6-16 years old not attending school,77,50.3,130,72,58,32.8,34.3,31.2
Lakewood,Baking,children 6-12 years old not attending elementary,95,67.4,137,94,43,48.2,61,33.1
Lakewood,Baking,children 13-16 years old not attending high school,93,82.3,128,69,59,75.7,86.3,66.3
Lakewood,Baking,children 6-16 years old not attending school,91,55.5,166,111,55,36.6,47.4,25.1
Lakewood,Bagong Kahayag,children 6-12 years old not attending elementary,66,35.5,82,50,32,27.1,30.5,23
Lakewood,Bagong Kahayag,children 13-16 years old not attending high school,90,60,114,68,46,55.1,64.2,45.5
Lakewood,Bagong Kahayag,children 6-16 years old not attending school,60,26,91,57,34,17.8,21.1,14.2
Lakewood,Biswangan,children 6-12 years old not attending elementary,63,50.4,99,48,51,40.9,39,42.9
Lakewood,Biswangan,children 13-16 years old not attending high school,60,77.9,75,32,43,74.3,71.1,76.8
Lakewood,Biswangan,children 6-16 years old not attending school,61,43.3,115,63,52,33.5,37.5,29.7
Lakewood,Bululawan,children 6-12 years old not attending elementary,23,19.7,28,17,11,16.4,19.1,13.4
Lakewood,Bululawan,children 13-16 years old not attending high school,54,51.4,70,38,32,48.3,55.9,41.6
Lakewood,Bululawan,children 6-16 years old not attending school,14,8.8,22,13,9,7,8.3,5.7
Lakewood,Dagum,children 6-12 years old not attending elementary,49,68.1,81,41,40,58.3,63.1,54.1
Lakewood,Dagum,children 13-16 years old not attending high school,46,100,69,34,35,95.8,100,92.1
Lakewood,Dagum,children 6-16 years old not attending school,56,65.9,109,59,50,51.7,59.6,44.6
Lakewood,Gasa,children 6-12 years old not attending elementary,28,59.6,44,26,18,44.4,59.1,32.7
Lakewood,Gasa,children 13-16 years old not attending high school,35,85.4,46,21,25,85.2,87.5,83.3
Lakewood,Gasa,children 6-16 years old not attending school,32,51.6,56,33,23,36.6,48.5,27.1
Lakewood,Gatub,children 6-12 years old not attending elementary,42,40,59,30,29,30.1,26.1,35.8
Lakewood,Gatub,children 13-16 years old not attending high school,43,59.7,56,33,23,54.9,63.5,46
Lakewood,Gatub,children 6-16 years old not attending school,33,25.2,50,26,24,16.8,15.6,18.3
Lakewood,Poblacion (Lakewood),children 6-12 years old not attending elementary,208,44.2,270,147,123,32.4,35.1,29.6
Lakewood,Poblacion (Lakewood),children 13-16 years old not attending high school,196,58,255,134,121,54.8,60.1,50
Lakewood,Poblacion (Lakewood),children 6-16 years old not attending school,118,21,202,114,88,15.6,17.8,13.4
Lakewood,Lukuan,children 6-12 years old not attending elementary,17,44.7,21,13,8,29.6,35.1,23.5
Lakewood,Lukuan,children 13-16 years old not attending high school,22,75.9,30,20,10,71.4,80,58.8
Lakewood,Lukuan,children 6-16 years old not attending school,16,33.3,26,17,9,23,27.4,17.6
Lakewood,Matalang,children 6-12 years old not attending elementary,47,78.3,80,37,43,67.8,66.1,69.4
Lakewood,Matalang,children 13-16 years old not attending high school,50,98,77,41,36,98.7,100,97.3
Lakewood,Matalang,children 6-16 years old not attending school,46,63.9,88,41,47,44.9,42.3,47.5
Lakewood,Sapang Pinoles,children 6-12 years old not attending elementary,35,50,47,32,15,39.8,54.2,25.4
Lakewood,Sapang Pinoles,children 13-16 years old not attending high school,35,81.4,44,33,11,69.8,84.6,45.8
Lakewood,Sapang Pinoles,children 6-16 years old not attending school,25,32.1,44,32,12,24.3,32.7,14.5
Lakewood,Sebuguey,children 6-12 years old not attending elementary,30,66.7,50,31,19,58.8,56.4,63.3
Lakewood,Sebuguey,children 13-16 years old not attending high school,32,94.1,44,22,22,91.7,95.7,88
Lakewood,Sebuguey,children 6-16 years old not attending school,30,56.6,57,32,25,42.9,41,45.5
Lakewood,Tiwales,children 6-12 years old not attending elementary,48,78.7,94,51,43,71.2,73.9,68.3
Lakewood,Tiwales,children 13-16 years old not attending high school,36,92.3,53,26,27,89.8,92.9,87.1
Lakewood,Tiwales,children 6-16 years old not attending school,56,80,124,69,55,64.9,71.1,58.5
Lakewood,Tubod,children 6-12 years old not attending elementary,117,38.4,153,81,72,28.1,28.9,27.2
Lakewood,Tubod,children 13-16 years old not attending high school,118,51.3,150,79,71,47.2,53.7,41.5
Lakewood,Tubod,children 6-16 years old not attending school,67,18.1,116,64,52,13.4,15,11.9
