city_or_municipality,barangay,basic_education,households_magnitude,households_proportion,households_total,population_male_magnitude,population_female_magnitude,population_total_magnitude,population_male_proportion,population_female_proportion
Aurora,Kahayagan East (Katipunan),children 6-16 years old not attending school,24,20.5,27,18,9,11.1,15.3,7.2
Aurora,Kahayagan West,children 6-12 years old not attending elementary,25,32.1,29,13,16,21.5,18.6,24.6
Aurora,Kahayagan West,children 13-16 years old not attending high school,28,46.7,34,22,12,43.6,53.7,32.4
Aurora,Kahayagan West,children 6-16 years old not attending school,28,27.7,36,24,12,16.9,21.6,11.8
Bayog,Baking,children 6-12 years old not attending elementary,7,31.8,10,8,2,25.6,32,14.3
Bayog,Baking,children 13-16 years old not attending high school,12,66.7,16,12,4,59.3,80,33.3
Bayog,Baking,children 6-16 years old not attending school,10,35.7,16,13,3,24.2,32.5,11.5
Bayog,Balukbahan,children 6-12 years old not attending elementary,79,68.7,102,56,46,53.7,52.3,55.4
Bayog,Balukbahan,children 13-16 years old not attending high school,104,94.5,136,69,67,95.1,95.8,94.4
Bayog,Balukbahan,children 6-16 years old not attending school,116,75.3,210,109,101,63.1,60.9,65.6
Bayog,Balumbunan,children 6-12 years old not attending elementary,15,37.5,21,13,8,24.7,25.5,23.5
Bayog,Balumbunan,children 13-16 years old not attending high school,33,82.5,45,24,21,81.8,88.9,75
Bayog,Balumbunan,children 6-16 years old not attending school,27,51.9,40,23,17,28.6,29.5,27.4
Bayog,Bantal,children 6-12 years old not attending elementary,27,62.8,43,23,20,48.3,51.1,45.5
Bayog,Bantal,children 13-16 years old not attending high school,26,92.9,35,14,21,87.5,77.8,95.5
Bayog,Bantal,children 6-16 years old not attending school,29,58,56,28,28,43.4,44.4,42.4
Bayog,Bobuan,children 6-12 years old not attending elementary,57,46,84,42,42,36.5,36.5,36.5
Bayog,Bobuan,children 13-16 years old not attending high school,52,56.5,70,42,28,56,60,50.9
Bayog,Bobuan,children 6-16 years old not attending school,61,40.7,102,57,45,28.7,30.8,26.5
Bayog,Camp Blessing,children 6-12 years old not attending elementary,21,47.7,28,21,7,37.3,43.8,25.9
Bayog,Camp Blessing,children 13-16 years old not attending high school,18,58.1,23,12,11,52.3,66.7,42.3
Bayog,Camp Blessing,children 6-16 years old not attending school,14,25.5,25,17,8,21,25.8,15.1
Bayog,Canoayan,children 6-12 years old not attending elementary,45,61.6,59,27,32,42.1,42.2,42.1
Bayog,Canoayan,children 13-16 years old not attending high school,36,65.5,48,25,23,64,64.1,63.9
Bayog,Canoayan,children 6-16 years old not attending school,44,51.8,66,35,31,30.7,34,27.7
Bayog,Conacon,children 6-12 years old not attending elementary,24,45.3,37,23,14,32.2,38.3,25.5
Bayog,Conacon,children 13-16 years old not attending high school,34,81,48,29,19,77.4,87.9,65.5
Bayog,Conacon,children 6-16 years old not attending school,38,58.5,66,42,24,37.3,45.2,28.6
Bayog,Dagum,children 6-12 years old not attending elementary,10,38.5,11,4,7,22.4,14.8,31.8
Bayog,Dagum,children 13-16 years old not attending high school,12,70.6,13,5,8,56.5,50,61.5
Bayog,Dagum,children 6-16 years old not attending school,11,35.5,15,5,10,20.8,13.5,28.6
Bayog,Damit,children 6-12 years old not attending elementary,77,40.1,107,59,48,33.2,34.7,31.6
Bayog,Damit,children 13-16 years old not attending high school,73,54.1,91,51,40,49.5,60.7,40
Bayog,Damit,children 6-16 years old not attending school,85,36.6,144,83,61,28.5,32.7,24.2
Bayog,Datagan,children 6-12 years old not attending elementary,34,50,53,31,22,39,37.3,41.5
Bayog,Datagan,children 13-16 years old not attending high school,39,83,53,28,25,79.1,87.5,71.4
Bayog,Datagan,children 6-16 years old not attending school,41,50.6,69,40,29,34,34.8,33
Bayog,Depase,children 6-12 years old not attending elementary,57,47.5,90,51,39,40.2,39.8,40.6
Bayog,Depase,children 13-16 years old not attending high school,68,76.4,80,41,39,69,73.2,65
Bayog,Depase,children 6-16 years old not attending school,74,52.9,137,77,60,40.3,41.8,38.5
Bayog,Deporehan,children 6-12 years old not attending elementary,34,52.3,46,21,25,35.7,37.5,34.2
Bayog,Deporehan,children 13-16 years old not attending high school,39,90.7,52,26,26,83.9,83.9,83.9
Bayog,Deporehan,children 6-16 years old not attending school,40,55.6,58,25,33,30.4,28.7,31.7
Bayog,Depore,children 6-12 years old not attending elementary,36,33,43,21,22,23.6,25.3,22.2
Bayog,Depore,children 13-16 years old not attending high school,52,59.1,62,32,30,52.1,55.2,49.2
Bayog,Depore,children 6-16 years old not attending school,48,35.3,64,36,28,21.3,25.5,17.5
Dumalinao,Bag-ong Misamis,children 6-12 years old not attending elementary,7,41.2,9,5,4,31,41.7,23.5
Dumalinao,Bag-ong Misamis,children 13-16 years old not attending high school,12,80,13,11,2,65,78.6,33.3
Dumalinao,Bag-ong Misamis,children 6-16 years old not attending school,7,30.4,12,8,4,24.5,30.8,17.4
Dumalinao,Baga,children 6-12 years old not attending elementary,34,39.5,44,23,21,31,34.3,28
Dumalinao,Baga,children 13-16 years old not attending high school,36,57.1,43,24,19,54.4,60,48.7
Dumalinao,Baga,children 6-16 years old not attending school,39,38.6,59,33,26,26.7,30.8,22.8
Dumalinao,Bag-ong Silao,children 6-12 years old not attending elementary,24,26.4,26,15,11,17.8,20.3,15.3
Dumalinao,Bag-ong Silao,children 13-16 years old not attending high school,26,46.4,33,18,15,45.2,48.6,41.7
Dumalinao,Bag-ong Silao,children 6-16 years old not attending school,22,20.2,29,14,15,13.2,12.6,13.9
Dumalinao,Baloboan,children 6-12 years old not attending elementary,15,25.9,17,8,9,18.7,17.8,19.6
Dumalinao,Baloboan,children 13-16 years old not attending high school,19,52.8,31,20,11,57.4,64.5,47.8
Dumalinao,Baloboan,children 6-16 years old not attending school,16,23.5,25,16,9,17.2,21.1,13
Dumalinao,Banta-ao,children 6-12 years old not attending elementary,22,55,23,15,8,32.4,37.5,25.8
Dumalinao,Banta-ao,children 13-16 years old not attending high school,23,82.1,31,26,5,83.8,86.7,71.4
Dumalinao,Banta-ao,children 6-16 years old not attending school,27,57.4,38,28,10,35.2,40,26.3
Dumalinao,Bibilik,children 6-12 years old not attending elementary,33,28.9,38,18,20,20.2,19.8,20.6
Dumalinao,Bibilik,children 13-16 years old not attending high school,39,47,47,27,20,43.1,54,33.9
Dumalinao,Bibilik,children 6-16 years old not attending school,40,27.4,49,25,24,16.5,17.7,15.4
Dumalinao,Calingayan,children 6-12 years old not attending elementary,26,37.7,33,18,15,22.8,21.7,24.2
Dumalinao,Calingayan,children 13-16 years old not attending high school,25,50,27,16,11,40.9,44.4,36.7
Dumalinao,Calingayan,children 6-16 years old not attending school,24,29.3,31,19,12,14.7,16,13
Dumalinao,Camalig,children 6-12 years old not attending elementary,26,46.4,37,21,16,36.6,43.8,30.2
Dumalinao,Camalig,children 13-16 years old not attending high school,25,67.6,32,17,15,64,68,60
Dumalinao,Camalig,children 6-16 years old not attending school,27,37,49,26,23,32.5,35.6,29.5
Dumalinao,Camanga,children 6-12 years old not attending elementary,34,27.4,41,14,27,20.9,15.7,25.2
Dumalinao,Camanga,children 13-16 years old not attending high school,45,45.5,58,30,28,40.3,42.3,38.4
Dumalinao,Camanga,children 6-16 years old not attending school,27,16.8,34,16,18,10,10,10
Dumalinao,Cuatro-cuatro,children 6-12 years old not attending elementary,11,26.8,12,7,5,18.2,21.2,15.2
Dumalinao,Cuatro-cuatro,children 13-16 years old not attending high school,12,42.9,15,11,4,38.5,52.4,22.2
Dumalinao,Cuatro-cuatro,children 6-16 years old not attending school,2,4.1,2,2,0,1.9,3.7,0
Dumalinao,Locuban,children 6-12 years old not attending elementary,29,30.2,31,18,13,19,22.2,15.9
Dumalinao,Locuban,children 13-16 years old not attending high school,16,26.2,16,11,5,20.5,26.8,13.5
Dumalinao,Locuban,children 6-16 years old not attending school,10,9.1,10,5,5,4.1,4.1,4.2
Dumalinao,Malasik,children 6-12 years old not attending elementary,36,61,44,26,18,49.4,53.1,45
Dumalinao,Malasik,children 13-16 years old not attending high school,34,81,50,26,24,80.6,76.5,85.7
Dumalinao,Malasik,children 6-16 years old not attending school,36,51.4,69,34,35,45.7,41,51.5
Dumalinao,Mama (San Juan),children 6-12 years old not attending elementary,26,32.5,36,24,12,24.3,30,17.6
Dumalinao,Mama (San Juan),children 13-16 years old not attending high school,32,58.2,40,22,18,51.9,56.4,47.4
Dumalinao,Mama (San Juan),children 6-16 years old not attending school,32,33.3,47,25,22,20.9,21,20.8
Dumalinao,Matab-ang,children 6-12 years old not attending elementary,8,16.3,8,6,2,9.4,12.2,5.7
Dumalinao,Matab-ang,children 13-16 years old not attending high school,10,29.4,11,4,7,23.9,18.2,29.2
Dumalinao,Matab-ang,children 6-16 years old not attending school,3,5.3,3,2,1,2.3,2.8,1.7
Guipos,Bagong Oroquieta,children 6-12 years old not attending elementary,17,11.3,17,8,9,7.3,7,7.6
Guipos,Bagong Oroquieta,children 13-16 years old not attending high school,60,45.8,71,37,34,42.5,44,41
Guipos,Bagong Oroquieta,children 6-16 years old not attending school,33,15.6,39,19,20,9.8,9.6,10
Guipos,Baguitan,children 6-12 years old not attending elementary,22,16.7,23,17,6,11.5,16.2,6.3
Guipos,Baguitan,children 13-16 years old not attending high school,44,46.3,53,32,21,40.5,45.1,35
