city_or_municipality,barangay,basic_education,households_magnitude,households_proportion,households_total,population_male_magnitude,population_female_magnitude,population_total_magnitude,population_male_proportion,population_female_proportion
Aurora,Balas,members 10 years old and above,349,100,1260,697,563,69.4,71,67.4
Aurora,Balas,members of the labor force,347,99.4,648,486,162,35.7,49.5,19.4
Aurora,Balide,population,235,-,1103,553,550,100,50.1,49.9
Aurora,Balide,average household size,5,-,-,-,-,-,-,-
Aurora,Balide,children 0-5 years old,113,48.1,159,84,75,14.4,15.2,13.6
Aurora,Balide,children 6-12 years old,115,48.9,186,88,98,16.9,15.9,17.8
Aurora,Balide,members 13-16 years old,80,34,111,60,51,10.1,10.8,9.3
Aurora,Balide,members 6-16 years old,143,60.9,297,148,149,26.9,26.8,27.1
Aurora,Balide,members 10 years old and above,235,100,836,417,419,75.8,75.4,76.2
Aurora,Balide,members of the labor force,138,58.7,184,129,55,16.7,23.3,10
Aurora,Balintawak,population,296,-,1380,717,663,100,52,48
Aurora,Balintawak,average household size,5,-,-,-,-,-,-,-
Aurora,Balintawak,children 0-5 years old,112,37.8,171,86,85,12.4,12,12.8
Aurora,Balintawak,children 6-12 years old,147,49.7,241,115,126,17.5,16,19
Aurora,Balintawak,members 13-16 years old,119,40.2,165,93,72,12,13,10.9
Aurora,Balintawak,members 6-16 years old,186,62.8,406,208,198,29.4,29,29.9
Aurora,Balintawak,members 10 years old and above,296,100,1077,570,507,78,79.5,76.5
Aurora,Balintawak,members of the labor force,288,97.3,526,354,172,38.1,49.4,25.9
Aurora,Bayabas,population,275,-,1371,738,633,100,53.8,46.2
Aurora,Bayabas,average household size,5,-,-,-,-,-,-,-
Aurora,Bayabas,children 0-5 years old,117,42.5,184,106,78,13.4,14.4,12.3
Aurora,Bayabas,children 6-12 years old,137,49.8,228,124,104,16.6,16.8,16.4
Aurora,Bayabas,members 13-16 years old,92,33.5,128,67,61,9.3,9.1,9.6
Aurora,Bayabas,members 6-16 years old,165,60,356,191,165,26,25.9,26.1
Aurora,Bayabas,members 10 years old and above,275,100,1056,565,491,77,76.6,77.6
Aurora,Bayabas,members of the labor force,256,93.1,410,308,102,29.9,41.7,16.1
Aurora,Bemposa,population,134,-,612,330,282,100,53.9,46.1
Aurora,Bemposa,average household size,5,-,-,-,-,-,-,-
Aurora,Bemposa,children 0-5 years old,63,47,95,54,41,15.5,16.4,14.5
Aurora,Bemposa,children 6-12 years old,72,53.7,124,77,47,20.3,23.3,16.7
Aurora,Bemposa,members 13-16 years old,44,32.8,61,32,29,10,9.7,10.3
