city_or_municipality,barangay,basic_education,households_magnitude,households_proportion,households_total,population_male_magnitude,population_female_magnitude,population_total_magnitude,population_male_proportion,population_female_proportion
Dumalinao,Banta-ao,members 6-16 years old,47,58.8,108,70,38,28.2,33,22.4
Dumalinao,Banta-ao,members 10 years old and above,80,100,281,154,127,73.4,72.6,74.7
Dumalinao,Banta-ao,members of the labor force,73,91.3,97,92,5,25.3,43.4,2.9
Dumalinao,Bibilik,population,229,-,1049,523,526,100,49.9,50.1
Dumalinao,Bibilik,average household size,5,-,-,-,-,-,-,-
Dumalinao,Bibilik,children 0-5 years old,103,45,155,72,83,14.8,13.8,15.8
Dumalinao,Bibilik,children 6-12 years old,114,49.8,188,91,97,17.9,17.4,18.4
Dumalinao,Bibilik,members 13-16 years old,83,36.2,109,50,59,10.4,9.6,11.2
Dumalinao,Bibilik,members 6-16 years old,146,63.8,297,141,156,28.3,27,29.7
Dumalinao,Bibilik,members 10 years old and above,228,99.6,792,403,389,75.5,77.1,74
Dumalinao,Bibilik,members of the labor force,215,93.9,226,219,7,21.5,41.9,1.3
Dumalinao,Calingayan,population,131,-,655,358,297,100,54.7,45.3
Dumalinao,Calingayan,average household size,5,-,-,-,-,-,-,-
Dumalinao,Calingayan,children 0-5 years old,71,54.2,112,56,56,17.1,15.6,18.9
Dumalinao,Calingayan,children 6-12 years old,69,52.7,145,83,62,22.1,23.2,20.9
Dumalinao,Calingayan,members 13-16 years old,50,38.2,66,36,30,10.1,10.1,10.1
Dumalinao,Calingayan,members 6-16 years old,82,62.6,211,119,92,32.2,33.2,31
Dumalinao,Calingayan,members 10 years old and above,131,100,464,260,204,70.8,72.6,68.7
Dumalinao,Calingayan,members of the labor force,122,93.1,231,157,74,35.3,43.9,24.9
Dumalinao,Camalig,population,111,-,567,283,284,100,49.9,50.1
Dumalinao,Camalig,average household size,5,-,-,-,-,-,-,-
Dumalinao,Camalig,children 0-5 years old,45,40.5,71,34,37,12.5,12,13
Dumalinao,Camalig,children 6-12 years old,56,50.5,101,48,53,17.8,17,18.7
Dumalinao,Camalig,members 13-16 years old,37,33.3,50,25,25,8.8,8.8,8.8
Dumalinao,Camalig,members 6-16 years old,73,65.8,151,73,78,26.6,25.8,27.5
Dumalinao,Camalig,members 10 years old and above,111,100,431,216,215,76,76.3,75.7
Dumalinao,Camalig,members of the labor force,100,90.1,169,142,27,29.8,50.2,9.5
Dumalinao,Camanga,population,274,-,1286,629,656,100,48.9,51
Dumalinao,Camanga,average household size,5,-,-,-,-,-,-,-
Dumalinao,Camanga,children 0-5 years old,111,40.5,152,78,74,11.8,12.4,11.3
Dumalinao,Camanga,children 6-12 years old,124,45.3,196,89,107,15.2,14.1,16.3
Dumalinao,Camanga,members 13-16 years old,99,36.1,144,71,73,11.2,11.3,11.1
Dumalinao,Camanga,members 6-16 years old,161,58.8,340,160,180,26.4,25.4,27.4
Dumalinao,Camanga,members 10 years old and above,274,100,1030,501,529,80.1,79.7,80.6
Dumalinao,Camanga,members of the labor force,200,73,358,237,121,27.8,37.7,18.4
Dumalinao,Cuatro-Cuatro,population,90,-,445,230,215,100,51.7,48.3
Dumalinao,Cuatro-Cuatro,average household size,5,-,-,-,-,-,-,-
Dumalinao,Cuatro-Cuatro,children 0-5 years old,50,55.6,90,49,41,20.2,21.3,19.1
Dumalinao,Cuatro-Cuatro,children 6-12 years old,41,45.6,66,33,33,14.8,14.3,15.3
Dumalinao,Cuatro-Cuatro,members 13-16 years old,28,31.1,39,21,18,8.8,9.1,8.4
Dumalinao,Cuatro-Cuatro,members 6-16 years old,49,54.4,105,54,51,23.6,23.5,23.7
Dumalinao,Cuatro-Cuatro,members 10 years old and above,90,100,312,160,152,70.1,69.6,70.7
Dumalinao,Cuatro-Cuatro,members of the labor force,43,47.8,85,51,34,19.1,22.2,15.8
Dumalinao,Locuban,population,190,-,850,455,394,100,53.5,46.4
Dumalinao,Locuban,average household size,4,-,-,-,-,-,-,-
Dumalinao,Locuban,children 0-5 years old,83,43.7,120,65,55,14.1,14.3,14
Dumalinao,Locuban,children 6-12 years old,96,50.5,163,81,82,19.2,17.8,20.8
Dumalinao,Locuban,members 13-16 years old,61,32.1,78,41,37,9.2,9,9.4
Dumalinao,Locuban,members 6-16 years old,110,57.9,241,122,119,28.4,26.8,30.2
Dumalinao,Locuban,members 10 years old and above,190,100,644,339,305,75.8,74.5,77.4
Dumalinao,Locuban,members of the labor force,183,96.3,254,213,41,29.9,46.8,10.4
Dumalinao,Malasik,population,124,-,508,277,231,100,54.5,45.5
Dumalinao,Malasik,average household size,4,-,-,-,-,-,-,-
Dumalinao,Malasik,children 0-5 years old,53,42.7,78,43,35,15.4,15.5,15.2
Dumalinao,Malasik,children 6-12 years old,59,47.6,89,49,40,17.5,17.7,17.3
Dumalinao,Malasik,members 13-16 years old,42,33.9,62,34,28,12.2,12.3,12.1
Dumalinao,Malasik,members 6-16 years old,70,56.5,151,83,68,29.7,30,29.4
Dumalinao,Malasik,members 10 years old and above,124,100,379,206,173,74.6,74.4,74.9
Dumalinao,Malasik,members of the labor force,113,91.1,125,112,13,24.6,40.4,5.6
Dumalinao,Mama (San Juan),population,149,-,739,385,354,100,52.1,47.9
Dumalinao,Mama (San Juan),average household size,5,-,-,-,-,-,-,-
Dumalinao,Mama (San Juan),children 0-5 years old,70,47,114,59,55,15.4,15.3,15.5
Dumalinao,Mama (San Juan),children 6-12 years old,80,53.7,148,80,68,20,20.8,19.2
Dumalinao,Mama (San Juan),members 13-16 years old,55,36.9,77,39,38,10.4,10.1,10.7
Dumalinao,Mama (San Juan),members 6-16 years old,96,64.4,225,119,106,30.4,30.9,29.9
Dumalinao,Mama (San Juan),members 10 years old and above,149,100,541,279,262,73.2,72.5,74
Dumalinao,Mama (San Juan),members of the labor force,136,91.3,184,141,43,24.9,36.6,12.1
Dumalinao,Matab-ang,population,99,-,431,239,191,100,55.5,44.3
Dumalinao,Matab-ang,average household size,4,-,-,-,-,-,-,-
Dumalinao,Matab-ang,children 0-5 years old,43,43.4,66,37,29,15.3,15.5,15.2
Dumalinao,Matab-ang,children 6-12 years old,49,49.5,85,49,35,19.7,20.5,18.3
Dumalinao,Matab-ang,members 13-16 years old,34,34.3,46,22,24,10.7,9.2,12.6
Dumalinao,Matab-ang,members 6-16 years old,57,57.6,131,71,59,30.4,29.7,30.9
Dumalinao,Matab-ang,members 10 years old and above,99,100,324,182,142,75.2,76.2,74.3
Dumalinao,Matab-ang,members of the labor force,17,17.2,34,18,16,7.9,7.5,8.4
Guipos,Bagong Oroquieta,population,301,-,1525,773,752,100,50.7,49.3
Guipos,Bagong Oroquieta,average household size,5,-,-,-,-,-,-,-
Guipos,Bagong Oroquieta,children 0-5 years old,132,43.9,199,100,99,13,12.9,13.2
Guipos,Bagong Oroquieta,children 6-12 years old,151,50.2,232,114,118,15.2,14.7,15.7
Guipos,Bagong Oroquieta,members 13-16 years old,131,43.5,167,84,83,11,10.9,11
Guipos,Bagong Oroquieta,members 6-16 years old,212,70.4,399,198,201,26.2,25.6,26.7
Guipos,Bagong Oroquieta,members 10 years old and above,301,100,1185,611,574,77.7,79,76.3
Guipos,Bagong Oroquieta,members of the labor force,288,95.7,500,358,142,32.8,46.3,18.9
Guipos,Baguitan,population,260,-,1177,618,559,100,52.5,47.5
Guipos,Baguitan,average household size,5,-,-,-,-,-,-,-
Guipos,Baguitan,children 0-5 years old,106,40.8,153,76,77,13,12.3,13.8
Guipos,Baguitan,children 6-12 years old,132,50.8,200,105,95,17,17,17
Guipos,Baguitan,members 13-16 years old,95,36.5,131,71,60,11.1,11.5,10.7
Guipos,Baguitan,members 6-16 years old,158,60.8,331,176,155,28.1,28.5,27.7
Guipos,Baguitan,members 10 years old and above,259,99.6,919,493,426,78.1,79.8,76.2
Guipos,Baguitan,members of the labor force,254,97.7,318,269,49,27,43.5,8.8
Guipos,Balongating,population,351,-,1479,765,714,100,51.7,48.3
Guipos,Balongating,average household size,4,-,-,-,-,-,-,-
Guipos,Balongating,children 0-5 years old,112,31.9,152,83,69,10.3,10.8,9.7
Guipos,Balongating,children 6-12 years old,145,41.3,199,107,92,13.5,14,12.9
Guipos,Balongating,members 13-16 years old,112,31.9,136,73,63,9.2,9.5,8.8
Guipos,Balongating,members 6-16 years old,198,56.4,335,180,155,22.7,23.5,21.7
Guipos,Balongating,members 10 years old and above,350,99.7,1208,623,585,81.7,81.4,81.9
Guipos,Balongating,members of the labor force,308,87.7,391,319,72,26.4,41.7,10.1
Guipos,Canunan,population,347,-,1707,872,834,100,51.1,48.9
Guipos,Canunan,average household size,5,-,-,-,-,-,-,-
Guipos,Canunan,children 0-5 years old,173,49.9,254,125,129,14.9,14.3,15.5
Guipos,Canunan,children 6-12 years old,180,51.9,293,149,144,17.2,17.1,17.3
Guipos,Canunan,members 13-16 years old,129,37.2,166,87,79,9.7,10,9.5
Guipos,Canunan,members 6-16 years old,229,66,459,236,223,26.9,27.1,26.7
Guipos,Canunan,members 10 years old and above,347,100,1306,664,642,76.5,76.1,77
Guipos,Canunan,members of the labor force,313,90.2,457,354,103,26.8,40.6,12.4
Guipos,Dacsol,population,106,-,494,262,232,100,53,47
Guipos,Dacsol,average household size,5,-,-,-,-,-,-,-
Guipos,Dacsol,children 0-5 years old,43,40.6,59,31,28,11.9,11.8,12.1
Guipos,Dacsol,children 6-12 years old,59,55.7,105,55,50,21.3,21,21.6
Guipos,Dacsol,members 13-16 years old,45,42.5,60,26,34,12.1,9.9,14.7
Guipos,Dacsol,members 6-16 years old,73,68.9,165,81,84,33.4,30.9,36.2
Guipos,Dacsol,members 10 years old and above,106,100,378,204,174,76.5,77.9,75
Guipos,Dacsol,members of the labor force,105,99.1,134,119,15,27.1,45.4,6.5
Guipos,Dagohoy,population,121,-,571,304,267,100,53.2,46.8
Guipos,Dagohoy,average household size,5,-,-,-,-,-,-,-
Guipos,Dagohoy,children 0-5 years old,49,40.5,67,29,38,11.7,9.5,14.2
Guipos,Dagohoy,children 6-12 years old,65,53.7,95,56,39,16.6,18.4,14.6
Guipos,Dagohoy,members 13-16 years old,43,35.5,59,31,28,10.3,10.2,10.5
Guipos,Dagohoy,members 6-16 years old,81,66.9,154,87,67,27,28.6,25.1
Guipos,Dagohoy,members 10 years old and above,121,100,450,243,207,78.8,79.9,77.5
Guipos,Dagohoy,members of the labor force,118,97.5,145,127,18,25.4,41.8,6.7
Guipos,Dalapang,population,172,-,818,435,382,100,53.2,46.7
Guipos,Dalapang,average household size,5,-,-,-,-,-,-,-
Guipos,Dalapang,children 0-5 years old,79,45.9,115,64,51,14.1,14.7,13.4
Guipos,Dalapang,children 6-12 years old,83,48.3,147,83,64,18,19.1,16.8
Guipos,Dalapang,members 13-16 years old,68,39.5,96,51,45,11.7,11.7,11.8
Guipos,Dalapang,members 6-16 years old,108,62.8,243,134,109,29.7,30.8,28.5
Guipos,Dalapang,members 10 years old and above,172,100,619,326,293,75.7,74.9,76.7
Guipos,Dalapang,members of the labor force,169,98.3,182,164,18,22.2,37.7,4.7
Guipos,Datagan,population,133,-,738,396,342,100,53.7,46.3
Guipos,Datagan,average household size,6,-,-,-,-,-,-,-
Guipos,Datagan,children 0-5 years old,68,51.1,117,59,58,15.9,14.9,17
Guipos,Datagan,children 6-12 years old,84,63.2,149,84,65,20.2,21.2,19
Guipos,Datagan,members 13-16 years old,60,45.1,90,47,43,12.2,11.9,12.6
Guipos,Datagan,members 6-16 years old,95,71.4,239,131,108,32.4,33.1,31.6
Guipos,Datagan,members 10 years old and above,133,100,529,283,246,71.7,71.5,71.9
Guipos,Datagan,members of the labor force,127,95.5,196,156,40,26.6,39.4,11.7
Guipos,Poblacion (Guipos),population,610,-,3048,1535,1513,100,50.4,49.6
Guipos,Poblacion (Guipos),average household size,5,-,-,-,-,-,-,-
Guipos,Poblacion (Guipos),children 0-5 years old,274,44.9,403,194,209,13.2,12.6,13.8
Guipos,Poblacion (Guipos),children 6-12 years old,325,53.3,502,253,249,16.5,16.5,16.5
Guipos,Poblacion (Guipos),members 13-16 years old,230,37.7,316,167,149,10.4,10.9,9.8
Guipos,Poblacion (Guipos),members 6-16 years old,409,67,818,420,398,26.8,27.4,26.3
Guipos,Poblacion (Guipos),members 10 years old and above,610,100,2339,1184,1155,76.7,77.1,76.3
Guipos,Poblacion (Guipos),members of the labor force,539,88.4,785,603,182,25.8,39.3,12
Guipos,Guling,population,329,-,1776,916,860,100,51.6,48.4
Guipos,Guling,average household size,5,-,-,-,-,-,-,-
Guipos,Guling,children 0-5 years old,167,50.8,239,115,124,13.5,12.6,14.4
Guipos,Guling,children 6-12 years old,173,52.6,281,147,134,15.8,16,15.6
Guipos,Guling,members 13-16 years old,115,35,158,87,71,8.9,9.5,8.3
Guipos,Guling,members 6-16 years old,213,64.7,439,234,205,24.7,25.5,23.8
Guipos,Guling,members 10 years old and above,328,99.7,1377,720,657,77.5,78.6,76.4
Guipos,Guling,members of the labor force,324,98.5,551,460,91,31,50.2,10.6
Guipos,Katipunan,population,214,-,1057,534,523,100,50.5,49.5
Guipos,Katipunan,average household size,5,-,-,-,-,-,-,-
Guipos,Katipunan,children 0-5 years old,109,50.9,161,85,76,15.2,15.9,14.5
Guipos,Katipunan,children 6-12 years old,115,53.7,189,91,98,17.9,17,18.7
Guipos,Katipunan,members 13-16 years old,87,40.7,123,52,71,11.6,9.7,13.6
Guipos,Katipunan,members 6-16 years old,141,65.9,312,143,169,29.5,26.8,32.3
Guipos,Katipunan,members 10 years old and above,214,100,791,398,393,74.8,74.5,75.1
Guipos,Katipunan,members of the labor force,211,98.6,242,220,22,22.9,41.2,4.2
Guipos,Lintum,population,127,-,606,327,279,100,54,46
Guipos,Lintum,average household size,5,-,-,-,-,-,-,-
Guipos,Lintum,children 0-5 years old,50,39.4,87,52,35,14.4,15.9,12.5
Guipos,Lintum,children 6-12 years old,67,52.8,114,53,61,18.8,16.2,21.9
Guipos,Lintum,members 13-16 years old,48,37.8,67,45,22,11.1,13.8,7.9
Guipos,Lintum,members 6-16 years old,87,68.5,181,98,83,29.9,30,29.7
Guipos,Lintum,members 10 years old and above,127,100,452,245,207,74.6,74.9,74.2
Guipos,Lintum,members of the labor force,122,96.1,172,164,8,28.4,50.2,2.9
Guipos,Litan,population,99,-,532,272,260,100,51.1,48.9
Guipos,Litan,average household size,5,-,-,-,-,-,-,-
Guipos,Litan,children 0-5 years old,45,45.5,68,30,38,12.8,11,14.6
Guipos,Litan,children 6-12 years old,57,57.6,93,46,47,17.5,16.9,18.1
Guipos,Litan,members 13-16 years old,42,42.4,58,31,27,10.9,11.4,10.4
Guipos,Litan,members 6-16 years old,67,67.7,151,77,74,28.4,28.3,28.5
Guipos,Litan,members 10 years old and above,99,100,414,220,194,77.8,80.9,74.6
Guipos,Litan,members of the labor force,96,97,129,122,7,24.2,44.9,2.7
Guipos,Magting,population,73,-,369,182,187,100,49.3,50.7
Guipos,Magting,average household size,5,-,-,-,-,-,-,-
Guipos,Magting,children 0-5 years old,36,49.3,60,25,35,16.3,13.7,18.7
Guipos,Magting,children 6-12 years old,37,50.7,58,26,32,15.7,14.3,17.1
Guipos,Magting,members 13-16 years old,30,41.1,38,19,19,10.3,10.4,10.2
Guipos,Magting,members 6-16 years old,47,64.4,96,45,51,26,24.7,27.3
Guipos,Magting,members 10 years old and above,73,100,279,144,135,75.6,79.1,72.2
Guipos,Magting,members of the labor force,69,94.5,90,82,8,24.4,45.1,4.3
Josefina,Bogo Calabat,population,170,-,838,438,400,100,52.3,47.7
Josefina,Bogo Calabat,average household size,5,-,-,-,-,-,-,-
Josefina,Bogo Calabat,children 0-5 years old,71,41.8,111,57,54,13.2,13,13.5
Josefina,Bogo Calabat,children 6-12 years old,89,52.4,165,88,77,19.7,20.1,19.3
Josefina,Bogo Calabat,members 13-16 years old,63,37.1,84,44,40,10,10,10
Josefina,Bogo Calabat,members 6-16 years old,107,62.9,249,132,117,29.7,30.1,29.3
Josefina,Bogo Calabat,members 10 years old and above,170,100,636,333,303,75.9,76,75.8
Josefina,Bogo Calabat,members of the labor force,167,98.2,351,235,116,41.9,53.7,29
Josefina,Dawa (Diwa),population,161,-,769,398,371,100,51.8,48.2
Josefina,Dawa (Diwa),average household size,5,-,-,-,-,-,-,-
Josefina,Dawa (Diwa),children 0-5 years old,68,42.2,93,47,46,12.1,11.8,12.4
Josefina,Dawa (Diwa),children 6-12 years old,84,52.2,143,69,74,18.6,17.3,19.9
Josefina,Dawa (Diwa),members 13-16 years old,63,39.1,76,38,38,9.9,9.5,10.2
Josefina,Dawa (Diwa),members 6-16 years old,105,65.2,219,107,112,28.5,26.9,30.2
Josefina,Dawa (Diwa),members 10 years old and above,161,100,594,315,279,77.2,79.1,75.2
Josefina,Dawa (Diwa),members of the labor force,152,94.4,244,184,60,31.7,46.2,16.2
Josefina,Ebarle,population,65,-,322,173,149,100,53.7,46.3
Josefina,Ebarle,average household size,5,-,-,-,-,-,-,-
Josefina,Ebarle,children 0-5 years old,29,44.6,44,25,19,13.7,14.5,12.8
Josefina,Ebarle,children 6-12 years old,37,56.9,72,40,32,22.4,23.1,21.5
Josefina,Ebarle,members 13-16 years old,29,44.6,43,23,20,13.4,13.3,13.4
Josefina,Ebarle,members 6-16 years old,45,69.2,115,63,52,35.7,36.4,34.9
Josefina,Ebarle,members 10 years old and above,65,100,243,131,112,75.5,75.7,75.2
Josefina,Ebarle,members of the labor force,51,78.5,67,53,14,20.8,30.6,9.4
Josefina,Upper Bagong Tudela Poblacion,population,293,-,1461,730,731,100,50,50
Josefina,Upper Bagong Tudela Poblacion,average household size,5,-,-,-,-,-,-,-
Josefina,Upper Bagong Tudela Poblacion,children 0-5 years old,121,41.3,183,95,88,12.5,13,12
Josefina,Upper Bagong Tudela Poblacion,children 6-12 years old,150,51.2,245,121,124,16.8,16.6,17
Josefina,Upper Bagong Tudela Poblacion,members 13-16 years old,115,39.2,157,71,86,10.7,9.7,11.8
Josefina,Upper Bagong Tudela Poblacion,members 6-16 years old,189,64.5,402,192,210,27.5,26.3,28.7
Josefina,Upper Bagong Tudela Poblacion,members 10 years old and above,293,100,1147,573,574,78.5,78.5,78.5
Josefina,Upper Bagong Tudela Poblacion,members of the labor force,268,91.5,428,316,112,29.3,43.3,15.3
Josefina,Leonardo,population,110,-,533,279,254,100,52.3,47.7
Josefina,Leonardo,average household size,5,-,-,-,-,-,-,-
Josefina,Leonardo,children 0-5 years old,50,45.5,69,36,33,12.9,12.9,13
Josefina,Leonardo,children 6-12 years old,57,51.8,101,46,55,18.9,16.5,21.7
Josefina,Leonardo,members 13-16 years old,35,31.8,49,29,20,9.2,10.4,7.9
Josefina,Leonardo,members 6-16 years old,71,64.5,150,75,75,28.1,26.9,29.5
Josefina,Leonardo,members 10 years old and above,110,100,408,214,194,76.5,76.7,76.4
Josefina,Leonardo,members of the labor force,96,87.3,156,107,49,29.3,38.4,19.3
Josefina,Litapan,population,86,-,395,214,181,100,54.2,45.8
Josefina,Litapan,average household size,5,-,-,-,-,-,-,-
Josefina,Litapan,children 0-5 years old,41,47.7,62,41,21,15.7,19.2,11.6
Josefina,Litapan,children 6-12 years old,41,47.7,68,33,35,17.2,15.4,19.3
Josefina,Litapan,members 13-16 years old,22,25.6,32,17,15,8.1,7.9,8.3
Josefina,Litapan,members 6-16 years old,45,52.3,100,50,50,25.3,23.4,27.6
Josefina,Litapan,members 10 years old and above,86,100,297,156,141,75.2,72.9,77.9
Josefina,Litapan,members of the labor force,80,93,101,87,14,25.6,40.7,7.7
Josefina,Lower Bagong Tudela,population,49,-,219,106,113,100,48.4,51.6
Josefina,Lower Bagong Tudela,average household size,4,-,-,-,-,-,-,-
Josefina,Lower Bagong Tudela,children 0-5 years old,13,26.5,17,8,9,7.8,7.5,8
Josefina,Lower Bagong Tudela,children 6-12 years old,21,42.9,40,16,24,18.3,15.1,21.2
Josefina,Lower Bagong Tudela,members 13-16 years old,24,49,31,14,17,14.2,13.2,15
Josefina,Lower Bagong Tudela,members 6-16 years old,32,65.3,71,30,41,32.4,28.3,36.3
Josefina,Lower Bagong Tudela,members 10 years old and above,49,100,182,92,90,83.1,86.8,79.6
Josefina,Lower Bagong Tudela,members of the labor force,47,95.9,79,58,21,36.1,54.7,18.6
Josefina,Mansanas,population,137,-,666,359,307,100,53.9,46.1
Josefina,Mansanas,average household size,5,-,-,-,-,-,-,-
Josefina,Mansanas,children 0-5 years old,69,50.4,95,50,45,14.3,13.9,14.7
Josefina,Mansanas,children 6-12 years old,70,51.1,119,71,48,17.9,19.8,15.6
Josefina,Mansanas,members 13-16 years old,53,38.7,75,40,35,11.3,11.1,11.4
Josefina,Mansanas,members 6-16 years old,86,62.8,194,111,83,29.1,30.9,27
Josefina,Mansanas,members 10 years old and above,137,100,495,266,229,74.3,74.1,74.6
Josefina,Mansanas,members of the labor force,134,97.8,182,158,24,27.3,44,7.8
Josefina,Moradji,population,76,-,357,180,176,100,50.4,49.3
Josefina,Moradji,average household size,5,-,-,-,-,-,-,-
Josefina,Moradji,children 0-5 years old,33,43.4,52,24,28,14.6,13.3,15.9
Josefina,Moradji,children 6-12 years old,38,50,66,33,33,18.5,18.3,18.8
Josefina,Moradji,members 13-16 years old,21,27.6,29,18,11,8.1,10,6.3
Josefina,Moradji,members 6-16 years old,46,60.5,95,51,44,26.6,28.3,25
Josefina,Moradji,members 10 years old and above,76,100,265,134,131,74.2,74.4,74.4
Josefina,Moradji,members of the labor force,75,98.7,136,93,43,38.1,51.7,24.4
Josefina,Nemeno,population,58,-,292,121,171,100,41.4,58.6
Josefina,Nemeno,average household size,5,-,-,-,-,-,-,-
Josefina,Nemeno,children 0-5 years old,29,50,42,12,30,14.4,9.9,17.5
Josefina,Nemeno,children 6-12 years old,31,53.4,56,21,35,19.2,17.4,20.5
Josefina,Nemeno,members 13-16 years old,20,34.5,26,11,15,8.9,9.1,8.8
Josefina,Nemeno,members 6-16 years old,36,62.1,82,32,50,28.1,26.4,29.2
Josefina,Nemeno,members 10 years old and above,58,100,220,97,123,75.3,80.2,71.9
Josefina,Nemeno,members of the labor force,57,98.3,88,61,27,30.1,50.4,15.8
Josefina,Nopulan,population,155,-,733,390,343,100,53.2,46.8
Josefina,Nopulan,average household size,5,-,-,-,-,-,-,-
Josefina,Nopulan,children 0-5 years old,67,43.2,97,52,45,13.2,13.3,13.1
Josefina,Nopulan,children 6-12 years old,80,51.6,151,92,59,20.6,23.6,17.2
Josefina,Nopulan,members 13-16 years old,52,33.5,72,37,35,9.8,9.5,10.2
Josefina,Nopulan,members 6-16 years old,99,63.9,223,129,94,30.4,33.1,27.4
Josefina,Nopulan,members 10 years old and above,155,100,549,283,266,74.9,72.6,77.6
Josefina,Nopulan,members of the labor force,151,97.4,292,192,100,39.8,49.2,29.2
Josefina,Sebukang,population,57,-,306,155,150,100,50.7,49
Josefina,Sebukang,average household size,5,-,-,-,-,-,-,-
Josefina,Sebukang,children 0-5 years old,23,40.4,35,22,13,11.4,14.2,8.7
Josefina,Sebukang,children 6-12 years old,33,57.9,65,28,37,21.2,18.1,24.7
Josefina,Sebukang,members 13-16 years old,23,40.4,34,13,21,11.1,8.4,14
Josefina,Sebukang,members 6-16 years old,38,66.7,99,41,58,32.4,26.5,38.7
Josefina,Sebukang,members 10 years old and above,57,100,239,119,120,78.1,76.8,80
Josefina,Sebukang,members of the labor force,57,100,92,71,21,30.1,45.8,14
Josefina,Tagaytay Hill,population,52,-,241,129,112,100,53.5,46.5
Josefina,Tagaytay Hill,average household size,5,-,-,-,-,-,-,-
Josefina,Tagaytay Hill,children 0-5 years old,19,36.5,27,12,15,11.2,9.3,13.4
Josefina,Tagaytay Hill,children 6-12 years old,26,50,44,26,18,18.3,20.2,16.1
Josefina,Tagaytay Hill,members 13-16 years old,19,36.5,24,13,11,10,10.1,9.8
Josefina,Tagaytay Hill,members 6-16 years old,32,61.5,68,39,29,28.2,30.2,25.9
Josefina,Tagaytay Hill,members 10 years old and above,52,100,188,100,88,78,77.5,78.6
Josefina,Tagaytay Hill,members of the labor force,46,88.5,52,47,5,21.6,36.4,4.5
Josefina,Gumahan Poblacion,population,291,-,1373,667,706,100,48.6,51.4
Josefina,Gumahan Poblacion,average household size,5,-,-,-,-,-,-,-
Josefina,Gumahan Poblacion,children 0-5 years old,115,39.5,176,83,93,12.8,12.4,13.2
Josefina,Gumahan Poblacion,children 6-12 years old,124,42.6,202,101,101,14.7,15.1,14.3
Josefina,Gumahan Poblacion,members 13-16 years old,86,29.6,109,55,54,7.9,8.2,7.6
Josefina,Gumahan Poblacion,members 6-16 years old,160,55,311,156,155,22.7,23.4,22
Josefina,Gumahan Poblacion,members 10 years old and above,291,100,1076,518,558,78.4,77.7,79
Josefina,Gumahan Poblacion,members of the labor force,279,95.9,523,321,202,38.1,48.1,28.6
Kumalarang,Bogayo,population,217,-,1203,611,592,100,50.8,49.2
Kumalarang,Bogayo,average household size,6,-,-,-,-,-,-,-
Kumalarang,Bogayo,children 0-5 years old,109,50.2,164,81,83,13.6,13.3,14
Kumalarang,Bogayo,children 6-12 years old,120,55.3,198,98,100,16.5,16,16.9
Kumalarang,Bogayo,members 13-16 years old,92,42.4,135,67,68,11.2,11,11.5
Kumalarang,Bogayo,members 6-16 years old,145,66.8,333,165,168,27.7,27,28.4
Kumalarang,Bogayo,members 10 years old and above,216,99.5,942,479,463,78.3,78.4,78.2
Kumalarang,Bogayo,members of the labor force,215,99.1,358,293,65,29.8,48,11
Kumalarang,Bolisong,population,131,-,688,374,313,100,54.4,45.5
Kumalarang,Bolisong,average household size,5,-,-,-,-,-,-,-
Kumalarang,Bolisong,children 0-5 years old,62,47.3,100,58,42,14.5,15.5,13.4
Kumalarang,Bolisong,children 6-12 years old,76,58,144,74,70,20.9,19.8,22.4
Kumalarang,Bolisong,members 13-16 years old,63,48.1,83,44,39,12.1,11.8,12.5
Kumalarang,Bolisong,members 6-16 years old,88,67.2,227,118,109,33,31.6,34.8
Kumalarang,Bolisong,members 10 years old and above,130,99.2,515,287,228,74.9,76.7,72.8
Kumalarang,Bolisong,members of the labor force,128,97.7,197,170,27,28.6,45.5,8.6
Kumalarang,Bualan,population,147,-,781,408,373,100,52.2,47.8
Kumalarang,Bualan,average household size,5,-,-,-,-,-,-,-
Kumalarang,Bualan,children 0-5 years old,44,29.9,53,27,26,6.8,6.6,7
Kumalarang,Bualan,children 6-12 years old,98,66.7,149,80,69,19.1,19.6,18.5
Kumalarang,Bualan,members 13-16 years old,69,46.9,105,58,47,13.4,14.2,12.6
Kumalarang,Bualan,members 6-16 years old,117,79.6,254,138,116,32.5,33.8,31.1
Kumalarang,Bualan,members 10 years old and above,145,98.6,637,330,307,81.6,80.9,82.3
Kumalarang,Bualan,members of the labor force,142,96.6,178,160,18,22.8,39.2,4.8
Kumalarang,Boyugan East,population,165,-,869,458,410,100,52.7,47.2
Kumalarang,Boyugan East,average household size,5,-,-,-,-,-,-,-
Kumalarang,Boyugan East,children 0-5 years old,86,52.1,142,77,65,16.3,16.8,15.9
Kumalarang,Boyugan East,children 6-12 years old,99,60,171,82,89,19.7,17.9,21.7
Kumalarang,Boyugan East,members 13-16 years old,70,42.4,107,59,48,12.3,12.9,11.7
Kumalarang,Boyugan East,members 6-16 years old,113,68.5,278,141,137,32,30.8,33.4
Kumalarang,Boyugan East,members 10 years old and above,165,100,627,334,293,72.2,72.9,71.5
Kumalarang,Boyugan East,members of the labor force,68,41.2,72,68,4,8.3,14.8,1
Kumalarang,Boyugan West,population,180,-,1001,487,513,100,48.7,51.2
Kumalarang,Boyugan West,average household size,6,-,-,-,-,-,-,-
Kumalarang,Boyugan West,children 0-5 years old,103,57.2,170,79,91,17,16.2,17.7
